Tag_IDX,X,Y,Z,Freq_MHz,BaseRSSI
T01,7.689,7.704,0,915579164.693256,110.697602390082
T02,22.88,7.519,0,914326406.040955,112.922702316471
T03,38.209,7.622,0,914291505.133093,114.725120453189
T04,53.251,7.58,0,915153470.653709,114.745851996097
T05,68.686,7.646,0,915185642.860608,117.96353057704
T06,7.55,22.825,0,915857841.474753,115.168863529726
T07,22.852,22.693,0,914388014.601232,112.108115553869
T08,38.082,22.816,0,914490666.924795,120.110060159879
T09,53.388,22.789,0,914279150.280851,111.486652428207
T10,68.823,22.725,0,914570049.592263,113.230980434451
T11,7.474,38.06,0,914594233.583717,106.548194762145
T12,22.763,37.914,0,915154055.971391,112.231199845187
T13,38.068,38.042,0,914692923.390022,112.248310195691
T14,53.375,38.021,0,914089725.505081,118.79599448846
T15,68.81,37.911,0,914360738.320439,108.739151789346
T16,7.465,53.27,0,915392939.495199,109.339671922468
T17,22.899,53.151,0,915637801.36559,111.642262919496
T18,38.237,53.296,0,914898203.003192,115.41967385895
T19,53.51,53.153,0,915753099.412095,115.587571416044
T20,68.901,53.158,0,915414651.085693,109.403934522068
T21,7.33,68.492,0,915975191.113376,111.760990360024
T22,22.765,68.401,0,915551912.254323,110.796283124695
T23,38.153,68.53,0,914205629.134849,106.046850157463
T24,53.535,68.347,0,914293243.204742,111.332732551155
T25,68.97,68.448,0,915265505.941571,117.631421605832
